#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42392  27.196  -90.027 2012 01 06 06 00  MM    MM    MM  0.5   4   MM  MM     MM    MM    MM    MM    MM   MM     MM
42887  28.191  -88.496 2012 01 06 06 00 290   2.0    MM  0.5   4   MM  MM     MM    MM  20.7    MM    MM   MM     MM
44005  43.204  -69.128 2012 01 06 07 50 320   6.0   7.0  1.0   5  4.3  MM 1012.5  +1.9  -1.5   7.6 -10.0   MM     MM
44007  43.531  -70.144 2012 01 06 07 50 300   5.0   6.0  0.5  11  6.1  MM 1013.0  +1.4  -3.1   6.1 -11.6   MM     MM
44008  40.502  -69.247 2012 01 06 07 50 320  10.0  13.0  2.2   8  5.5 223 1013.9  +1.8   3.1   9.3  -3.0   MM     MM
44009  38.464  -74.702 2012 01 06 07 50 190   7.0   9.0  0.6  11  3.7  MM 1016.5  -0.8   8.6   9.1    MM   MM     MM
44011  41.105  -66.600 2012 01 06 07 50 290   7.0   9.0  2.2   8  5.4  MM 1011.1  +1.7   5.4   8.3  -1.8   MM     MM
44014  36.611  -74.842 2012 01 06 07 50  MM   7.0   8.0  0.9   3  4.4 252 1017.2  -0.5    MM  18.8    MM   MM     MM
44020  41.443  -70.186 2012 01 06 07 50 300   8.0   9.0  0.7   3  3.4 285 1014.0  +1.7   0.0   4.9  -7.2   MM     MM
44022  40.880  -73.730 2012 01 06 08 00  MM   6.0   8.0   MM  MM   MM  MM 1014.4  -0.0   3.5   5.4  -2.9   MM     MM
44024  42.312  -65.927 2012 01 06 07 04 320   9.0  12.0  2.0   6   MM  MM 1009.7  +1.8   3.4   8.2    MM  1.6     MM
44025  40.250  -73.167 2012 01 06 07 50 220   5.0   7.0  0.7   6  4.9 201 1014.5  -0.5   5.2   9.3  -2.2   MM     MM
44027  44.273  -67.314 2012 01 06 07 50 320   9.0  11.0  1.3   5  4.3  MM 1011.3  +2.0  -3.7   7.1  -9.8   MM     MM
44029  42.520  -70.570 2012 01 06 07 04 290   6.0   8.0  0.7   5   MM  MM 1013.2  +1.4  -1.5   7.4    MM  1.6     MM
44030  43.183  -70.418 2012 01 06 07 04 280   6.0   9.0  0.4   3   MM  MM 1012.9  +1.5    MM   7.4    MM   MM     MM
44032  43.715  -69.358 2012 01 06 07 04 320   8.0  10.0  0.7   3   MM  MM 1011.9  +1.5  -2.7   7.8    MM  1.6     MM
44033  44.060  -69.000 2012 01 06 07 04 310   5.0   6.0  0.4   5   MM  MM 1012.3  +1.2  -3.9   4.6    MM  1.6     MM
44034  44.110  -68.110 2012 01 06 08 04 320   7.0   9.0  0.8   3   MM  MM 1011.9  +1.9  -3.5   7.2    MM  1.6     MM
44039  41.138  -72.655 2012 01 06 07 45 230   6.0   9.0  0.6   4   MM  MM 1015.0    MM   4.1   6.8  -1.9   MM     MM
44040  40.956  -73.580 2012 01 06 07 45 210   5.0   6.0  0.1  MM   MM  MM 1014.9    MM   3.2    MM  -3.2   MM     MM
44041  37.204  -76.777 2012 01 06 07 20 250   4.0   5.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44042  38.033  -76.336 2012 01 06 07 20 240   6.0   7.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44043  39.152  -76.391 2012 01 06 07 20 290   1.0   1.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44055  39.122  -75.256 2012 01 06 07 30  MM    MM    MM  0.4   3   MM  MM     MM    MM    MM   5.0    MM   MM     MM
44056  36.200  -75.714 2012 01 06 06 50  MM    MM    MM  0.4  11   MM  94     MM    MM    MM   9.4    MM   MM     MM
44057  39.544  -76.075 2012 01 06 07 20  10   1.0   2.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44058  37.552  -76.251 2012 01 06 07 20 240   6.0   7.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44059  36.846  -76.298 2012 01 06 07 20 210   2.0   3.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44060  41.263  -72.067 2012 01 06 08 00  MM   2.0   3.0   MM  MM   MM  MM 1014.5  -0.3   0.9   8.0    MM   MM     MM
44062  38.556  -76.415 2012 01 06 07 20 230   4.0   5.0   MM  MM   MM  MM     MM    MM    MM   5.7    MM   MM     MM
44063  38.963  -76.448 2012 01 06 07 20  MM   0.0   0.0   MM  MM   MM  MM     MM    MM    MM    MM    MM   MM     MM
44065  40.369  -73.703 2012 01 06 07 50 200   6.0   8.0  0.5   7  5.0 177 1014.4  -0.8   4.9   7.7  -2.0   MM     MM
44066  39.601  -72.618 2012 01 06 07 50 270   4.0   5.0  1.1   5  4.7  MM 1015.8  +0.3   5.8  12.9  -1.8   MM     MM
44067  38.368  -76.996 2012 01 06 08 00 190   2.0    MM   MM  MM   MM  MM 1014.5  -0.3   3.5    MM    MM   MM     MM
44097  40.981  -71.117 2012 01 06 08 02  MM    MM    MM  1.2   8  5.1 225     MM    MM    MM  10.8    MM   MM     MM
44098  42.801  -70.169 2012 01 06 07 37  MM    MM    MM  1.1   4  4.0 314     MM    MM    MM   7.7    MM   MM     MM
